T: 49746,   	dT: 7.48,   	P: 0,   	I: -67,   	D: 1,   	V: -66,   	L: -1.85,   	R: -1.85
T: 49753,   	dT: 7.48,   	P: 1,   	I: -62,   	D: 2,   	V: -59,   	L: -1.83,   	R: -1.82
T: 49761,   	dT: 7.48,   	P: 1,   	I: -56,   	D: 3,   	V: -52,   	L: -2.10,   	R: -2.10
T: 49768,   	dT: 7.48,   	P: 1,   	I: -49,   	D: 3,   	V: -45,   	L: -2.10,   	R: -1.84
T: 49776,   	dT: 7.49,   	P: 2,   	I: -41,   	D: 4,   	V: -35,   	L: -2.10,   	R: -2.10
T: 49783,   	dT: 7.48,   	P: 2,   	I: -31,   	D: 5,   	V: -24,   	L: -1.83,   	R: -2.10
T: 49791,   	dT: 7.47,   	P: 3,   	I: -20,   	D: 5,   	V: -12,   	L: -1.84,   	R: -1.84
T: 49798,   	dT: 7.49,   	P: 3,   	I: -8,   	D: 6,   	V: 1,   	L: -1.84,   	R: -1.84
T: 49806,   	dT: 7.22,   	P: 3,   	I: 4,   	D: 6,   	V: 13,   	L: -1.36,   	R: -1.63
T: 49813,   	dT: 7.22,   	P: 3,   	I: 17,   	D: 7,   	V: 27,   	L: -1.36,   	R: -1.63
T: 49820,   	dT: 7.31,   	P: 4,   	I: 32,   	D: 7,   	V: 43,   	L: -1.07,   	R: -1.07
T: 49827,   	dT: 7.31,   	P: 4,   	I: 48,   	D: 8,   	V: 60,   	L: -0.81,   	R: -0.54
T: 49835,   	dT: 7.30,   	P: 4,   	I: 64,   	D: 8,   	V: 76,   	L: -0.54,   	R: -0.27
T: 49842,   	dT: 7.31,   	P: 4,   	I: 81,   	D: 8,   	V: 93,   	L: -0.54,   	R: -0.27
T: 49849,   	dT: 7.31,   	P: 2,   	I: 91,   	D: 4,   	V: 97,   	L: 0.00,   	R: -0.54
T: 49856,   	dT: 7.22,   	P: 0,   	I: 89,   	D: -3,   	V: 86,   	L: 0.00,   	R: 0.00
T: 49864,   	dT: 7.22,   	P: -1,   	I: 83,   	D: -5,   	V: 77,   	L: 0.27,   	R: 0.00
T: 49871,   	dT: 7.32,   	P: 0,   	I: 84,   	D: 0,   	V: 84,   	L: 0.54,   	R: 0.81
T: 49878,   	dT: 7.14,   	P: 0,   	I: 87,   	D: 0,   	V: 87,   	L: 0.83,   	R: 0.82
T: 49885,   	dT: 7.14,   	P: 0,   	I: 86,   	D: -2,   	V: 84,   	L: 1.10,   	R: 0.82
T: 49893,   	dT: 7.22,   	P: -1,   	I: 81,   	D: -4,   	V: 76,   	L: 1.36,   	R: 1.09
T: 49900,   	dT: 7.31,   	P: -1,   	I: 77,   	D: -4,   	V: 72,   	L: 1.34,   	R: 1.34
T: 49907,   	dT: 7.30,   	P: 0,   	I: 75,   	D: -2,   	V: 73,   	L: 1.62,   	R: 1.61
T: 49914,   	dT: 7.23,   	P: 0,   	I: 72,   	D: -3,   	V: 69,   	L: 1.63,   	R: 1.36
T: 49922,   	dT: 7.23,   	P: -1,   	I: 67,   	D: -4,   	V: 62,   	L: 1.90,   	R: 1.63
T: 49929,   	dT: 7.30,   	P: -1,   	I: 62,   	D: -4,   	V: 57,   	L: 2.14,   	R: 1.61
T: 49936,   	dT: 7.30,   	P: -1,   	I: 56,   	D: -5,   	V: 50,   	L: 1.88,   	R: 1.88
T: 49944,   	dT: 7.31,   	P: -2,   	I: 48,   	D: -5,   	V: 41,   	L: 1.88,   	R: 1.88
T: 49951,   	dT: 7.32,   	P: -2,   	I: 40,   	D: -5,   	V: 33,   	L: 2.14,   	R: 1.88
T: 49958,   	dT: 7.31,   	P: -2,   	I: 33,   	D: -5,   	V: 26,   	L: 1.88,   	R: 1.88
T: 49966,   	dT: 7.30,   	P: -2,   	I: 26,   	D: -5,   	V: 19,   	L: 1.88,   	R: 1.88
T: 49973,   	dT: 7.30,   	P: -2,   	I: 19,   	D: -5,   	V: 12,   	L: 1.88,   	R: 1.88
T: 49980,   	dT: 7.31,   	P: -2,   	I: 12,   	D: -5,   	V: 5,   	L: 1.61,   	R: 1.61
T: 49987,   	dT: 7.22,   	P: -1,   	I: 5,   	D: -4,   	V: 0,   	L: 1.63,   	R: 1.36
T: 49995,   	dT: 7.14,   	P: -2,   	I: -1,   	D: -5,   	V: -8,   	L: 1.10,   	R: 1.10
