time, x_accel, z_accel, left_enc, right_enc
5049152, 369, 70, 6, 6
5051108, 363, 72, 6, 6
5053064, 356, 74, 6, 6
5055020, 350, 75, 6, 6
5056972, 345, 76, 6, 6
5058928, 337, 78, 6, 6
5060884, 331, 78, 6, 6
5062840, 325, 79, 6, 6
5064792, 318, 80, 6, 6
5066748, 312, 81, 6, 6
5068704, 304, 81, 6, 6
5070660, 297, 80, 6, 6
5072612, 290, 80, 6, 6
5074568, 285, 81, 6, 6
5076524, 278, 82, 6, 6
5078480, 270, 83, 6, 6
5080432, 263, 84, 6, 6
5082388, 255, 84, 6, 6
5084344, 249, 86, 6, 6
5086300, 242, 87, 6, 6
5088252, 235, 89, 6, 6
5090208, 229, 88, 6, 6
5092164, 220, 91, 6, 6
5094120, 213, 91, 6, 6
5096076, 207, 93, 6, 6
5098028, 200, 95, 6, 6
5099984, 193, 96, 6, 6
5101940, 186, 96, 6, 6
5103892, 180, 96, 6, 6
5105848, 173, 96, 6, 6
5107804, 165, 95, 6, 6
5109764, 157, 96, 6, 6
5111716, 150, 96, 6, 6
5113668, 143, 98, 6, 6
5115624, 136, 98, 6, 6
5117580, 128, 98, 6, 6
5119536, 120, 97, 6, 6
5121488, 112, 98, 6, 6
5123444, 105, 98, 6, 6
5125400, 98, 99, 6, 6
5127268, 93, 101, 6, 6
5129232, 86, 101, 6, 6
5131180, 79, 103, 6, 6
5133132, 72, 105, 6, 6
5135088, 67, 105, 6, 6
5137044, 60, 104, 6, 6
5139000, 52, 105, 6, 6
5140952, 46, 105, 6, 6
5142908, 39, 104, 6, 6
5144864, 32, 106, 6, 6
5146820, 25, 107, 6, 6
5148772, 17, 108, 6, 6
5150736, 11, 109, 6, 6
5152684, 6, 109, 6, 6
5154552, 5, 111, 6, 6
5156424, 6, 110, 6, 6
5158296, 5, 111, 6, 6
5160164, 5, 111, 6, 6
5162036, 5, 111, 6, 6
5163904, 5, 112, 6, 6
5165776, 5, 112, 6, 6
5167644, 5, 112, 6, 6
5169516, 5, 113, 6, 6
5171384, 5, 114, 6, 6
5173260, 5, 114, 6, 6
5175124, 5, 115, 6, 6
5176992, 5, 116, 6, 6
5178864, 5, 118, 6, 6
5180736, 6, 119, 6, 6
5182604, 5, 119, 6, 6
5184476, 5, 118, 6, 6
5186344, 6, 119, 6, 6
5188216, 5, 120, 6, 6
5190084, 5, 120, 6, 6
5191952, 5, 121, 6, 6
5193824, 5, 122, 6, 6
5195692, 5, 123, 6, 6
5197564, 5, 123, 6, 6
5199432, 5, 122, 6, 6
5201304, 5, 122, 6, 6
5203172, 6, 122, 6, 6
5205044, 5, 124, 6, 6
5206912, 5, 125, 6, 6
5208784, 6, 126, 6, 6
5210656, 5, 126, 6, 6
5212524, 4, 127, 6, 6
5214392, 5, 128, 6, 6
5216268, 5, 129, 6, 6
5218132, 5, 129, 6, 6
5220004, 5, 129, 6, 6
5221876, 5, 130, 6, 6
5223744, 5, 132, 6, 6
5225616, 5, 135, 6, 6
5227484, 5, 136, 6, 6
5229352, 5, 135, 6, 6
5231224, 5, 135, 6, 6
5233092, 5, 135, 6, 6
5234964, 5, 133, 6, 6
5236832, 5, 131, 6, 6
5238704, 5, 132, 6, 6
5240576, 5, 131, 6, 6
5242444, 5, 134, 6, 6
5244316, 5, 135, 6, 6
5246184, 5, 137, 6, 6
5248052, 5, 137, 6, 6
5249924, 5, 136, 6, 6
5251796, 5, 136, 6, 6
5253664, 5, 137, 6, 6
5255536, 5, 138, 6, 6
5257404, 5, 137, 6, 6
5259280, 5, 137, 6, 6
5261144, 5, 136, 6, 6
5263012, 5, 138, 6, 6
5264884, 5, 141, 6, 6
5266756, 5, 143, 6, 6
5268624, 7, 145, 6, 6
5270492, 5, 145, 6, 6
5272364, 5, 143, 6, 6
5274232, 5, 143, 6, 6
5276104, 5, 142, 6, 6
5277976, 5, 142, 6, 6
5279844, 5, 141, 6, 6
5281712, 5, 141, 6, 6
5283584, 5, 144, 6, 6
5285456, 5, 145, 6, 6
5287324, 5, 145, 6, 6
5289192, 5, 144, 6, 6
5291064, 6, 144, 6, 6
5292936, 5, 144, 6, 6
5294804, 5, 145, 6, 6
5296676, 5, 145, 6, 6
5298544, 5, 144, 6, 6
5300412, 5, 144, 6, 6
5302288, 5, 145, 6, 6
5304156, 5, 146, 6, 6
5306024, 6, 149, 6, 6
5307896, 5, 149, 6, 6
5309764, 5, 149, 6, 6
5311632, 5, 150, 6, 6
5313504, 5, 151, 6, 6
5315372, 6, 153, 6, 6
5317244, 5, 154, 6, 6
5319112, 5, 155, 6, 6
5320984, 5, 155, 6, 6
5322856, 5, 156, 6, 6
5324724, 5, 156, 6, 6
