time, x, z
1444372, 279, 90
1445816, 279, 91
1447260, 280, 90
1448708, 279, 90
1450152, 279, 90
1451596, 279, 90
1453040, 280, 90
1454488, 280, 90
1455932, 280, 91
1457376, 280, 91
1458820, 280, 91
1460272, 279, 91
1461712, 279, 90
1463156, 279, 90
1464600, 279, 90
1466048, 278, 90
1467496, 278, 90
1468936, 278, 91
1470380, 279, 91
1471828, 278, 91
1473272, 278, 90
1474716, 277, 90
1476160, 278, 91
1477608, 279, 90
1479052, 279, 90
1480496, 278, 92
1481940, 279, 90
1483388, 279, 91
1484832, 279, 91
1486276, 281, 92
1487720, 281, 91
1489168, 281, 90
1490612, 281, 90
1492056, 279, 91
1493500, 279, 89
1494948, 280, 89
1496392, 280, 88
1497836, 280, 90
1499280, 280, 91
1500728, 280, 92
1502172, 280, 93
1503616, 280, 93
1505060, 281, 93
1506508, 279, 93
1507952, 279, 92
1509400, 280, 91
1510840, 280, 91
1512288, 280, 91
1513732, 280, 91
1515176, 280, 91
1516624, 281, 92
1518068, 279, 93
1519512, 279, 93
1520956, 280, 92
1522400, 280, 91
1523848, 280, 92
1525292, 281, 91
1526736, 280, 91
1528180, 281, 91
1529628, 279, 92
1531072, 280, 92
1532516, 280, 92
1533968, 280, 91
1535408, 281, 91
1536852, 280, 92
1538296, 281, 91
1539740, 281, 90
1541192, 280, 90
1542632, 280, 90
1544076, 280, 90
1545520, 280, 90
1546968, 280, 88
1548416, 279, 89
1549856, 279, 90
1551300, 280, 91
1552748, 280, 93
1554192, 279, 91
1555636, 280, 90
1557080, 278, 89
1558528, 277, 89
1559972, 277, 90
1561416, 277, 90
1562860, 278, 91
1564308, 279, 91
1565752, 279, 91
1567196, 279, 91
1568640, 279, 92
1570088, 278, 91
1571532, 279, 93
1572976, 279, 92
1574420, 281, 92
1575868, 281, 92
1577312, 280, 92
1578756, 279, 92
1580200, 279, 92
1581648, 279, 92
1583092, 279, 93
1584536, 279, 92
1585980, 279, 91
1587428, 279, 91
1588872, 279, 90
1590320, 279, 91
1591760, 279, 91
1593208, 280, 90
1594652, 280, 91
1596096, 279, 90
1597544, 281, 91
1598988, 281, 90
1600432, 282, 90
1601876, 282, 91
1603320, 281, 91
1604768, 281, 91
1606212, 281, 91
1607656, 280, 91
1609100, 280, 91
1610548, 279, 91
1611992, 279, 91
1613436, 281, 91
1614880, 280, 91
1616328, 281, 90
1617772, 281, 92
1619216, 281, 91
1620660, 281, 91
1622112, 280, 91
1623552, 279, 89
1624996, 280, 88
1626440, 278, 89
1627888, 278, 88
1629332, 278, 88
1630776, 278, 88
1632220, 279, 90
1633668, 279, 91
1635112, 280, 92
1636556, 281, 93
1638000, 279, 93
1639448, 280, 92
1640892, 280, 92
1642336, 280, 93
1643784, 279, 92
1645228, 279, 91
1646672, 279, 92
1648116, 280, 92
1649560, 278, 91
1651008, 280, 91
1652452, 279, 90
1653896, 280, 91
1655340, 281, 90
1656788, 281, 90
1658232, 281, 90
1659676, 280, 90
1661120, 279, 90
1662568, 279, 90
1664016, 278, 90
1665456, 278, 91
1666900, 280, 91
1668348, 280, 91
1669792, 280, 93
1671240, 280, 92
1672680, 279, 91
1674128, 279, 89
1675572, 279, 90
1677016, 278, 90
1678464, 278, 89
1679908, 278, 89
1681352, 277, 91
1682796, 278, 91
1684240, 278, 91
1685688, 278, 92
1687132, 279, 91
1688584, 279, 90
1690020, 280, 89
1691468, 279, 88
1692912, 279, 89
1694356, 281, 90
1695800, 279, 91
1697248, 280, 91
1698692, 279, 91
1700136, 280, 90
1701580, 279, 90
1703032, 278, 91
1704472, 278, 91
1705916, 279, 90
1707360, 278, 92
1708808, 278, 92
1710252, 278, 90
1711696, 277, 90
1713140, 278, 89
1714588, 278, 89
1716032, 279, 89
1717476, 280, 90
1718920, 280, 90
1720368, 280, 91
1721812, 279, 90
1723256, 278, 90
1724700, 279, 90
1726148, 278, 91
1727592, 278, 91
1729036, 278, 91
1730480, 278, 90
1731928, 279, 91
